Wall time,Step,Value
1651240066.3206582,49,0.05470104143023491
1651240068.0939817,99,0.11162436753511429
1651240068.9936047,149,0.1674315482378006
1651240070.7427528,199,0.22435487806797028
1651240071.642435,249,0.2801620662212372
1651240073.4356642,299,0.33708539605140686
1651240074.2800965,349,0.3928925693035126
1651240075.9817302,399,0.44981589913368225
1651240077.6054013,449,0.5067392587661743
1651240078.4525473,499,0.56254643201828
1651240080.1230693,549,0.6194697618484497
1651240080.9754157,599,0.6752769351005554
1651240082.637437,649,0.7322002649307251
1651240083.4828515,699,0.7880074381828308
1651240085.194244,749,0.8449307680130005
1651240086.0849607,799,0.9007379412651062
1651240087.8033035,849,0.9576612710952759
1651240089.4438334,899,1.0145846605300903
1651240090.2821436,949,1.0703917741775513
1651240091.9675333,999,1.1273151636123657
1651240092.8190246,1049,1.1831222772598267
1651240094.5008512,1099,1.2400456666946411
1651240095.3402584,1149,1.2958528995513916
1651240097.039728,1199,1.3527761697769165
1651240098.979559,1249,1.4096994400024414
1651240099.9127572,1299,1.465506672859192
1651240101.6307933,1349,1.5224300622940063
1651240102.4773755,1399,1.5782371759414673
1651240104.1834176,1449,1.6351605653762817
1651240105.0733197,1499,1.6909676790237427
1651240106.8716736,1549,1.7478910684585571
1651240107.7724926,1599,1.803698182106018
1651240109.6652448,1649,1.8606215715408325
1651240111.5117123,1699,1.9175448417663574
1651240112.5084455,1749,1.973352074623108
