Wall time,Step,Value
1653318837.5399625,93,0.0014092008350417018
1653318844.4179978,187,0.001086741453036666
1653318851.3969593,281,0.0009373335051350296
1653318858.6102848,375,0.0009489045478403568
1653318871.7596538,469,0.001006188802421093
1653318878.2928467,563,0.0009081570897251368
1653318885.3731875,657,0.0008417443023063242
1653318892.4005096,751,0.0008169010980054736
1653318906.1603754,845,0.0008770140702836215
1653318912.6248531,939,0.0008655875572003424
1653318919.4529026,1033,0.0008632594253867865
1653318926.4644604,1127,0.0009263504180125892
1653318940.398406,1221,0.0009506079950369895
1653318948.596189,1315,0.0010242064017802477
1653318955.4493427,1409,0.0011375469621270895
1653318962.4144633,1503,0.0012254148023203015
1653318973.6807363,1597,0.002653775503858924
1653318984.389161,1691,0.010459625162184238
1653318991.2686203,1785,0.01291654258966446
1653318998.2949765,1879,0.020118949934840202
