Wall time,Step,Value
1653318837.5401554,93,0.1007050946354866
1653318844.4182224,187,0.20140017569065094
1653318851.3971486,281,0.3020952641963959
1653318858.61055,375,0.402790367603302
1653318871.759822,469,0.5034854412078857
1653318878.2930946,563,0.6041805744171143
1653318885.3734376,657,0.704875648021698
1653318892.4007068,751,0.8055707216262817
1653318906.1605837,845,0.9062657952308655
1653318912.6250932,939,1.0069608688354492
1653318919.4531035,1033,1.1076560020446777
1653318926.464681,1127,1.2083511352539062
1653318940.3991647,1221,1.3090461492538452
1653318948.5963855,1315,1.4097412824630737
1653318955.4495575,1409,1.5104364156723022
1653318962.4147007,1503,1.6111314296722412
1653318973.6816301,1597,1.7118265628814697
1653318984.3893535,1691,1.8125216960906982
1653318991.2688265,1785,1.9132167100906372
1653318998.2952065,1879,1.9860881567001343
