Wall time,Step,Value
1653319286.0024848,93,0.001409014337696135
1653319293.2796319,187,0.0010504820384085178
1653319300.3812416,281,0.0009436869877390563
1653319315.5344622,375,0.0008950288756750524
1653319324.7616372,469,0.0009352765046060085
1653319332.4818225,563,0.0008460099343210459
1653319340.115819,657,0.0008594748796895146
1653319356.719522,751,0.0009748358861543238
1653319364.3043637,845,0.0012981956824660301
1653319371.6145813,939,0.0009094098350033164
1653319378.9434931,1033,0.000968947249930352
1653319393.7527432,1127,0.0009333501220680773
1653319400.7010052,1221,0.0010091104777529836
1653319407.7922935,1315,0.0010047049727290869
1653319414.9247017,1409,0.0009796553058549762
1653319428.8617759,1503,0.0009581817430444062
1653319437.1199121,1597,0.0011129655176773667
1653319444.0487442,1691,0.0010354607366025448
1653319451.0112655,1785,0.001083229435607791
1653319461.6850162,1879,0.001106100156903267
