Wall time,Step,Value
1653399615.2819874,93,0.0013802812900394201
1653399618.1930501,187,0.0009522986365482211
1653399621.27993,281,0.0009503181208856404
1653399624.4413178,375,0.0009107963996939361
1653399627.8079367,469,0.0008938618702813983
1653399631.8057964,563,0.0009275746997445822
1653399635.6711347,657,0.0008869672892615199
1653399638.7912128,751,0.0008474296773783863
1653399641.9112751,845,0.0014128207694739103
1653399645.1769426,939,0.0009703326504677534
1653399648.3606005,1033,0.0008804519311524928
1653399651.5770435,1127,0.0009618773474358022
1653399654.6990695,1221,0.0009269726579077542
1653399657.9653237,1315,0.0010459015611559153
1653399661.7964275,1409,0.0010292156366631389
1653399665.7385886,1503,0.001142184715718031
1653399669.7071977,1597,0.0011031597387045622
1653399672.7632468,1691,0.0010863529751077294
1653399675.9388287,1785,0.0010800993768498302
1653399679.151419,1879,0.0010852416744455695
