Wall time,Step,Value
1653334266.5223503,93,0.0014099249383434653
1653334270.3995054,187,0.00094982999144122
1653334274.266677,281,0.0009267088025808334
1653334278.258982,375,0.0008962815627455711
1653334282.2794044,469,0.0009032353409565985
1653334286.315481,563,0.0007970248116180301
1653334290.3373632,657,0.0007726741605438292
1653334294.446585,751,0.0007612199988216162
1653334298.579986,845,0.0007332287495955825
1653334303.0891533,939,0.0007540942751802504
1653334307.6135128,1033,0.0007884619990363717
1653334312.1735551,1127,0.0007915694732218981
1653334316.928716,1221,0.0007892489084042609
1653334321.4949489,1315,0.0007284572347998619
1653334326.1075296,1409,0.000811206002254039
1653334330.2864292,1503,0.0007776392158120871
1653334333.9712481,1597,0.000775195425376296
1653334337.6333523,1691,0.0007870235131122172
1653334341.49928,1785,0.0007273496594280005
1653334345.3099709,1879,0.0007691527134738863
