Wall time,Step,Value
1653399826.3371866,93,0.0014087724266573787
1653399829.359814,187,0.0009521509055048227
1653399832.2555895,281,0.0008817057823762298
1653399835.2102025,375,0.0008968428592197597
1653399838.380706,469,0.0009389640763401985
1653399841.508172,563,0.0008290654513984919
1653399844.9063153,657,0.000799798290245235
1653399848.3496907,751,0.0007950608269311488
1653399851.6830251,845,0.0007673334330320358
1653399854.9367394,939,0.0007002931088209152
1653399858.1373675,1033,0.0007432096754200757
1653399861.3226125,1127,0.0007556034252047539
1653399864.4714983,1221,0.0007642540731467307
1653399867.6320364,1315,0.0007474939920939505
1653399870.703584,1409,0.0007930817664600909
1653399873.5839272,1503,0.0008265209035016596
1653399876.49096,1597,0.0008370294817723334
1653399879.3871863,1691,0.0008989532361738384
1653399882.3307679,1785,0.0009883773745968938
1653399885.3397543,1879,0.0010693389922380447
