Wall time,Step,Value
1653333820.9108193,93,0.001412759069353342
1653333825.8800082,187,0.0009929391089826822
1653333830.9105282,281,0.0009611779823899269
1653333839.7132556,375,0.0009185040253214538
1653333848.694325,469,0.0010175368515774608
1653333853.491783,563,0.0008593039819970727
1653333858.4550164,657,0.00089677469804883
1653333863.328674,751,0.0009324551792815328
1653333868.3793392,845,0.0009180805063806474
1653333881.1861632,939,0.0010388977825641632
1653333885.9722176,1033,0.0018502436578273773
1653333890.9395955,1127,0.0009685344994068146
1653333895.9669063,1221,0.0010585215641185641
1653333901.0854623,1315,0.0010331033263355494
1653333906.9458823,1409,0.0011012559989467263
1653333919.3037841,1503,0.0010562519310042262
1653333924.199033,1597,0.0011578312842175364
1653333929.2055047,1691,0.001236048759892583
1653333934.4228885,1785,0.0012235167669132352
1653333939.703952,1879,0.0015052006347104907
