Wall time,Step,Value
1652887421.4462426,93,0.0005982501315884292
1652887426.8258584,187,0.00036967353662475944
1652887433.2182148,281,0.00033070810604840517
1652887439.6183505,375,0.00030399803654290736
1652887446.2014003,469,0.0002800772781483829
1652887451.525465,563,0.00025762501172721386
1652887456.803585,657,0.00024257870973087847
1652887462.316161,751,0.00023161244462244213
1652887468.1451535,845,0.00021828614990226924
1652887474.4353862,939,0.00020956070511601865
1652887480.870429,1033,0.00019329137285239995
1652887487.2856596,1127,0.00018086501222569495
1652887493.9243028,1221,0.00016439903993159533
1652887499.7578847,1315,0.0001528489519841969
1652887505.3127787,1409,0.00014269986422732472
1652887511.049886,1503,0.00013028304965700954
1652887517.1435723,1597,0.00012165177031420171
1652887524.2176669,1691,0.00011296023876639083
1652887531.0191965,1785,0.00010490768909221515
1652887537.5722861,1879,9.8888085631188e-05
1652887544.2946212,1973,9.631250577513129e-05
1652887550.952433,2067,9.587327076587826e-05
1652887557.432935,2161,9.567481902195141e-05
1652887563.47365,2255,9.588812099536881e-05
1652887569.0438242,2349,0.00010204502905253321
1652887574.7568123,2443,0.00011710084800142795
1652887580.5622814,2537,0.00014129356713965535
1652887586.9550014,2631,0.00015949635417200625
1652887593.5700293,2725,0.0001804402272682637
1652887599.870741,2819,0.00019631520262919366
1652887606.1247454,2913,0.0001883593067759648
1652887612.384292,3007,0.0001582918339408934
1652887617.9812117,3101,0.00012067404895788059
1652887623.2424626,3195,0.00010037608444690704
1652887628.8926084,3289,8.926059672376141e-05
1652887634.390936,3383,7.632307824678719e-05
1652887640.457939,3477,6.837000546511263e-05
1652887646.8386981,3571,6.1046339396853e-05
1652887653.1766834,3665,5.683283961843699e-05
1652887659.5397491,3759,5.312396751833148e-05
1652887665.891001,3853,5.216453428147361e-05
1652887671.983671,3947,5.193338802200742e-05
1652887677.2550328,4041,5.216016506892629e-05
1652887682.6734838,4135,5.3036401368444785e-05
1652887688.3798256,4229,5.7338274928042665e-05
1652887694.06273,4323,7.419538451358676e-05
1652887700.3820221,4417,0.00014862055832054466
1652887706.8511868,4511,0.000388109969208017
1652887713.342522,4605,0.00035656304680742323
1652887719.6255798,4699,0.00023958002566359937
1652887725.7275336,4793,0.00016818201402202249
1652887731.0794225,4887,0.0001257888798136264
1652887736.5214245,4981,0.00010556005145190284
1652887742.0163674,5075,8.551953942514956e-05
1652887747.7817156,5169,7.16660579200834e-05
1652887754.1800525,5263,6.306367868091911e-05
1652887760.484952,5357,5.667623918270692e-05
1652887766.8814933,5451,5.168279676581733e-05
1652887773.1844227,5545,4.7200948756653816e-05
1652887779.497727,5639,4.414913564687595e-05
1652887784.9700172,5733,4.361163155408576e-05
1652887790.4343705,5827,4.351916868472472e-05
1652887796.0068555,5921,4.280525172362104e-05
1652887801.7910984,6015,4.364250344224274e-05
1652887808.317122,6109,4.795786662725732e-05
1652887814.695604,6203,6.29019268671982e-05
1652887820.9670353,6297,0.00011459818779258057
1652887827.301822,6391,0.00035403913352638483
1652887833.6502912,6485,0.00033280852949246764
1652887840.1072512,6579,0.0002560142893344164
1652887845.6969385,6673,0.00019176006026100367
1652887851.231939,6767,0.0001252227375516668
1652887857.003679,6861,9.142056660493836e-05
1652887862.7769916,6955,7.428265234921128e-05
1652887869.3093784,7049,6.200218922458589e-05
1652887875.5997758,7143,5.3778334404341877e-05
1652887882.0320632,7237,4.762269963975996e-05
1652887888.4221694,7331,4.2315332393627614e-05
1652887894.9375038,7425,3.9034530345816165e-05
1652887901.3230624,7519,3.664218820631504e-05
1652887907.3080604,7613,3.6426237784326077e-05
1652887912.6124892,7707,3.618897244450636e-05
1652887918.0399065,7801,3.6127763451077044e-05
1652887923.459808,7895,3.6972134694224223e-05
1652887929.1563315,7989,4.0289058233611286e-05
1652887935.4361944,8083,4.4704353058477864e-05
1652887941.7539763,8177,7.17520306352526e-05
1652887947.9290106,8271,0.00019051121489610523
1652887954.181774,8365,0.00020736681472044438
1652887960.236876,8459,0.0003580596821848303
1652887965.4892077,8553,0.00019922645878978074
1652887970.9682386,8647,0.00011861011444125324
1652887976.3823369,8741,7.703271694481373e-05
1652887982.047341,8835,5.845648774993606e-05
1652887988.3651574,8929,4.586327850120142e-05
1652887994.6931112,9023,3.899162766174413e-05
1652888001.0221474,9117,3.488900256343186e-05
1652888007.2984903,9211,3.1969106203177944e-05
1652888013.5213265,9305,2.962694452435244e-05
1652888019.415781,9399,2.832775135175325e-05
