Wall time,Step,Value
1652885759.824817,93,0.0007192259654402733
1652885764.6377406,187,0.00037554188747890294
1652885770.404486,281,0.00034798431443050504
1652885776.0096924,375,0.00034070524270646274
1652885781.6354303,469,0.0003353480715304613
1652885786.4105978,563,0.0003373878716956824
1652885791.2363248,657,0.00033867903403006494
1652885795.9580252,751,0.0003430744691286236
1652885800.8100607,845,0.00034820279688574374
1652885806.4005089,939,0.0003519661258906126
1652885811.9536073,1033,0.000352508359355852
1652885817.6111155,1127,0.0003586765087675303
1652885823.3474598,1221,0.0003544026694726199
1652885828.6024988,1315,0.00035770019167102873
1652885833.2318723,1409,0.00037156869075261056
1652885838.0798962,1503,0.00036339953658171
1652885842.919056,1597,0.00036327564157545567
1652885847.7314084,1691,0.0003697190259117633
1652885853.43044,1785,0.0003643941308837384
1652885859.2177904,1879,0.00039234396535903215
