Wall time,Step,Value
1652714947.720192,93,0.1007050946354866
1652714952.6176765,187,0.20140017569065094
1652714958.8906207,281,0.3020952641963959
1652714963.9325087,375,0.402790367603302
1652714968.3392594,469,0.5034854412078857
1652714972.8152192,563,0.6041805744171143
1652714977.3375506,657,0.704875648021698
1652714981.8497283,751,0.8055707216262817
1652714988.4200568,845,0.9062657952308655
1652714994.9168653,939,1.0069608688354492
1652715000.9045677,1033,1.1076560020446777
1652715005.080673,1127,1.2083511352539062
1652715009.4687552,1221,1.3090461492538452
1652715014.035823,1315,1.4097412824630737
1652715018.5524216,1409,1.5104364156723022
1652715023.2778587,1503,1.6111314296722412
1652715029.3703942,1597,1.7118265628814697
1652715035.2377713,1691,1.8125216960906982
1652715041.042122,1785,1.9132167100906372
1652715045.0731566,1879,1.9860881567001343
