Wall time,Step,Value
1652715073.5049977,93,0.0008095067460089922
1652715077.8571072,187,0.00039035858935676515
1652715083.252657,281,0.00035896635381504893
1652715089.0645375,375,0.00034884156775660813
1652715095.1144562,469,0.00033788394648581743
1652715101.4505947,563,0.0003354929212946445
1652715105.9940348,657,0.00033504172461107373
1652715110.6932867,751,0.00033652939600870013
1652715115.5415206,845,0.00033819544478319585
1652715120.4108608,939,0.0003399841662030667
1652715126.1358542,1033,0.000340915285050869
1652715132.3769538,1127,0.00034228715230710804
1652715138.5186641,1221,0.0003410330100450665
1652715144.7544265,1315,0.0003429964417591691
1652715150.244426,1409,0.00034793218947015703
1652715154.590525,1503,0.00034475268330425024
1652715158.99617,1597,0.00034581858199089766
1652715163.444822,1691,0.00034929378307424486
1652715167.8149571,1785,0.00034314964432269335
1652715173.4069083,1879,0.0003532810660544783
