Wall time,Step,Value
1652721944.6940637,93,0.0007960834191180766
1652721948.106753,187,0.00037739871186204255
1652721952.4210076,281,0.00033033074578270316
1652721956.732106,375,0.00031293497886508703
1652721961.2213042,469,0.0003231607552152127
1652721965.8573396,563,0.0003801807761192322
1652721969.3918595,657,0.0004176904330961406
1652721973.0266447,751,0.00045729006524197757
1652721976.6614323,845,0.0004316881822887808
1652721980.2281656,939,0.0005343742086552083
1652721983.8208797,1033,0.0005779027123935521
1652721987.649388,1127,0.0006482669268734753
1652721992.2884479,1221,0.0007597007788717747
1652721997.0636847,1315,0.000891665171366185
1652722001.506493,1409,nan
1652722005.973294,1503,nan
1652722009.6913948,1597,nan
1652722013.1153593,1691,nan
1652722016.607265,1785,nan
1652722020.1958477,1879,nan
