Wall time,Step,Value
1652717066.8203795,93,0.0007407472003251314
1652717069.8632822,187,0.00037012217217125
1652717073.4570613,281,0.00034850832889787853
1652717077.613663,375,0.0003406335017643869
1652717081.6508145,469,0.0003357220266479999
1652717085.6084454,563,0.00033756144694052637
1652717089.4563346,657,0.00033914775121957064
1652717092.356906,751,0.0003430151555221528
1652717095.3666604,845,0.0003491285315249115
1652717098.4935539,939,0.0003521951730363071
1652717101.53517,1033,0.0003528972156345844
1652717104.7226355,1127,0.00035964109702035785
1652717107.9357216,1221,0.0003543024940881878
1652717111.388387,1315,0.00035851728171110153
1652717115.5532038,1409,0.0003695045306812972
1652717119.5133216,1503,0.00036483086296357214
1652717123.480817,1597,0.00036277773324400187
1652717127.469412,1691,0.0003689255681820214
1652717131.319065,1785,0.0003642252995632589
1652717134.2945218,1879,0.00038929254515096545
