Wall time,Step,Value
1652717683.7214818,93,0.0007407934172078967
1652717686.6603935,187,0.00037051105755381286
1652717689.6156793,281,0.000349170237313956
1652717692.542629,375,0.00034140999196097255
1652717695.5521417,469,0.00033656973391771317
1652717698.784575,563,0.0003387949545867741
1652717702.1034086,657,0.00033983937464654446
1652717705.459574,751,0.0003440329455770552
1652717708.696943,845,0.0003491031820885837
1652717712.054704,939,0.00035296648275107145
1652717715.4605453,1033,0.0003536821168381721
1652717718.6766815,1127,0.00036080219433642924
1652717722.013115,1221,0.0003557369054760784
1652717725.315912,1315,0.00035994406789541245
1652717728.5249367,1409,0.0003723533300217241
1652717731.766539,1503,0.0003678681969176978
1652717735.0118728,1597,0.0003634849563241005
1652717738.3525379,1691,0.0003702394606079906
1652717741.6690521,1785,0.0003656066837720573
1652717744.9809408,1879,0.0003956638975068927
