Wall time,Step,Value
1653504424.9754782,93,0.001426564296707511
1653504428.2579036,187,0.0010488760890439153
1653504431.389105,281,0.0008833338506519794
1653504434.60425,375,0.0008802817319519818
1653504437.6992767,469,0.0009074546978808939
1653504440.7096417,563,0.0008167920750565827
1653504443.6931112,657,0.0007748808711767197
1653504446.7907243,751,0.00080732605420053
1653504449.8384047,845,0.0007456216844730079
1653504453.0847783,939,0.0007528230780735612
1653504456.3786538,1033,0.0007369547965936363
1653504459.652707,1127,0.0007350962259806693
1653504462.785109,1221,0.0007561213569715619
1653504465.7619965,1315,0.0007877236930653453
1653504468.8693602,1409,0.000850980868563056
1653504471.9509246,1503,0.0008142197038978338
1653504475.0187871,1597,0.0008537861867807806
1653504478.0493863,1691,0.001054222695529461
1653504481.1449003,1785,0.001427995041012764
1653504484.525236,1879,0.001975025748834014
