Wall time,Step,Value
1653504424.9756043,93,0.1007050946354866
1653504428.2580056,187,0.20140017569065094
1653504431.389207,281,0.3020952641963959
1653504434.60435,375,0.402790367603302
1653504437.6993766,469,0.5034854412078857
1653504440.7097683,563,0.6041805744171143
1653504443.6932125,657,0.704875648021698
1653504446.7909,751,0.8055707216262817
1653504449.8385127,845,0.9062657952308655
1653504453.0848978,939,1.0069608688354492
1653504456.37877,1033,1.1076560020446777
1653504459.6528246,1127,1.2083511352539062
1653504462.785236,1221,1.3090461492538452
1653504465.7621028,1315,1.4097412824630737
1653504468.8694663,1409,1.5104364156723022
1653504471.9510255,1503,1.6111314296722412
1653504475.0188956,1597,1.7118265628814697
1653504478.0494936,1691,1.8125216960906982
1653504481.1450102,1785,1.9132167100906372
1653504484.525369,1879,1.9860881567001343
