Wall time,Step,Value
1653504650.2086053,93,0.0014222776517271996
1653504653.2453077,187,0.0009931279346346855
1653504656.226683,281,0.0008887661970220506
1653504659.3038943,375,0.0009360090480186045
1653504662.4882038,469,0.0009074578410945833
1653504665.7330246,563,0.0008780852658674121
1653504669.0923955,657,0.000877453712746501
1653504672.3098323,751,0.0008753566071391106
1653504675.6372182,845,0.0009274562471546233
1653504678.8463442,939,0.0009067265200428665
1653504682.1460793,1033,0.0232949648052454
1653504685.5632696,1127,0.03500337526202202
1653504688.9601285,1221,0.024428779259324074
1653504692.514793,1315,0.02009705640375614
1653504695.8831577,1409,0.010335499420762062
1653504699.2627351,1503,0.0043458775617182255
1653504702.5374787,1597,0.006021229084581137
1653504705.8372347,1691,0.05497107654809952
1653504709.1065245,1785,0.09244404733181
1653504712.3372462,1879,0.04052802547812462
