Wall time,Step,Value
1653504564.1944308,93,0.0014224306214600801
1653504567.1384728,187,0.0009956350550055504
1653504570.1140916,281,0.0009269752772524953
1653504573.071925,375,0.0008790098363533616
1653504576.071633,469,0.0008939395193010569
1653504579.2617362,563,0.0008231612155213952
1653504582.379653,657,0.0007935691392049193
1653504585.4828448,751,0.0008201216696761549
1653504588.7822254,845,0.0007468755356967449
1653504592.0846858,939,0.0007572664762847126
1653504595.5203855,1033,0.0007475279271602631
1653504598.966642,1127,0.0007143226102925837
1653504602.422329,1221,0.000743409909773618
1653504605.814256,1315,0.0006949733942747116
1653504609.105594,1409,0.0007717824191786349
1653504612.381461,1503,0.0007161757675930858
1653504615.7010567,1597,0.0007491258438676596
1653504618.8660548,1691,0.0007662872085347772
1653504621.8428955,1785,0.0007093902677297592
1653504624.897824,1879,0.0007661699200980365
