Wall time,Step,Value
1653473204.5286043,93,0.000741084455512464
1653473208.0158558,187,0.00037554901791736484
1653473212.1124976,281,0.00036122926394455135
1653473216.8408175,375,0.00035747740184888244
1653473221.3212094,469,0.00035876769106835127
1653473225.7625725,563,0.00036599207669496536
1653473230.1644578,657,0.0003722544643096626
1653473234.7893887,751,0.0003745992435142398
1653473239.6203382,845,0.00038047670386731625
1653473244.2212696,939,0.00038388086250051856
1653473248.580417,1033,0.0003922117466572672
1653473252.7980907,1127,0.00040840357542037964
1653473257.0103354,1221,0.00040784713928587735
1653473260.9749315,1315,0.0004032344149891287
1653473264.6814458,1409,0.0004244988667778671
1653473267.9492712,1503,0.00041387174860574305
1653473271.230465,1597,0.0004587121366057545
1653473274.54735,1691,0.0004250040801707655
1653473277.9658267,1785,0.0004669753252528608
1653473281.3671052,1879,0.00043868579086847603
