Wall time,Step,Value
1653472178.323189,93,0.0007387324585579336
1653472181.5264452,187,0.0003647207631729543
1653472184.8425436,281,0.00035470607690513134
1653472188.1343396,375,0.00034021862666122615
1653472191.4787004,469,0.00034534514998085797
1653472195.385359,563,0.00033101384178735316
1653472203.7352436,657,0.00041320172022096813
1653472207.9928458,751,0.0004038302577100694
1653472211.3929617,845,0.0003632380976341665
1653472214.7931452,939,0.00038184880395419896
1653472218.3746283,1033,0.0003902208700310439
1653472221.8678303,1127,0.00044293844257481396
1653472225.4159243,1221,0.0004115213523618877
1653472229.546832,1315,0.0004501356743276119
1653472239.3511753,1409,0.0005069217877462506
1653472242.8703089,1503,0.0005966084427200258
1653472246.27605,1597,0.0005201828898862004
1653472249.8059769,1691,0.0005357182235457003
1653472253.4901047,1785,0.0005903738783672452
1653472257.1883385,1879,0.0006707668071612716
