Wall time,Step,Value
1653472541.9623234,93,0.0007388796075247228
1653472545.6116202,187,0.0003840865974780172
1653472549.1798978,281,0.0003696112835314125
1653472552.7216215,375,0.00036872568307444453
1653472556.7744799,469,0.00040315737714990973
1653472565.8321931,563,0.0003890516236424446
1653472569.0924137,657,0.00041390888509340584
1653472572.433485,751,0.00041964103002101183
1653472575.8681288,845,0.0004376420984044671
1653472579.2993264,939,0.0005062002455815673
1653472582.6804287,1033,0.0005723423091694713
1653472586.15326,1127,0.0005944578442722559
1653472590.2889595,1221,0.0005455013015307486
1653472599.0120351,1315,0.0006238527712412179
1653472602.1194844,1409,0.0006298982189036906
1653472605.299551,1503,0.0006483164033852518
1653472608.6356182,1597,0.000722379656508565
1653472612.361574,1691,0.000963752216193825
1653472616.3311977,1785,0.0006753871566615999
1653472620.2795968,1879,0.0008835979970172048
