Wall time,Step,Value
1653471980.8476982,93,0.000755635614041239
1653471984.736479,187,0.0002971308713313192
1653471988.5669725,281,0.0002573078090790659
1653471992.6976054,375,0.00023121984850149602
1653471997.6358626,469,0.0002352974406676367
1653472002.5154266,563,0.0002778339257929474
1653472007.2075498,657,0.00038035496254451573
1653472011.980527,751,0.00064192054560408
1653472017.1722283,845,0.0009608116815797985
1653472021.9100037,939,0.0012880204012617469
1653472026.8533385,1033,0.002825268544256687
1653472031.665352,1127,nan
1653472036.5081925,1221,nan
1653472041.5000348,1315,nan
1653472046.4585958,1409,nan
1653472051.425819,1503,nan
1653472055.982718,1597,nan
1653472059.4954493,1691,nan
1653472063.1095362,1785,nan
1653472066.9525769,1879,nan
