Wall time,Step,Value
1653663326.6369834,93,0.8382560014724731
1653663331.935195,187,0.8410540223121643
1653663337.4711618,281,0.8535910248756409
1653663342.6708467,375,0.8457430005073547
1653663347.7516632,469,0.8497970104217529
1653663352.6759577,563,0.8468459844589233
1653663357.6728325,657,0.8481690287590027
1653663362.7310057,751,0.8480749726295471
1653663367.814905,845,0.8458690047264099
1653663372.8632126,939,0.8511540293693542
1653663377.9758646,1033,0.846422016620636
1653663383.1612604,1127,0.851718008518219
1653663388.2399945,1221,0.8494899868965149
1653663393.2301452,1315,0.8483060002326965
1653663398.2436225,1409,0.8556489944458008
1653663403.2243032,1503,0.8477460145950317
1653663408.1708524,1597,0.8514040112495422
1653663413.0920975,1691,0.845429003238678
1653663418.0306606,1785,0.848242998123169
1653663423.125084,1879,0.8525769710540771
1653663428.1733267,1973,0.8514869809150696
1653663433.108016,2067,0.8515589833259583
1653663438.1625226,2161,0.8491439819335938
1653663443.087262,2255,0.8485000133514404
1653663448.1069305,2349,0.8469240069389343
1653663453.0777242,2443,0.8483449816703796
1653663458.098799,2537,0.8484659790992737
1653663462.9794028,2631,0.8492339849472046
1653663467.9677553,2725,0.8513309955596924
1653663472.948337,2819,0.8531829714775085
1653663478.0137072,2913,0.8488150238990784
1653663482.9264832,3007,0.8475549817085266
1653663487.934047,3101,0.8480499982833862
1653663492.84493,3195,0.8485699892044067
1653663498.4779832,3289,0.8514819741249084
1653663504.3488586,3383,0.8477280139923096
1653663510.4549265,3477,0.8457199931144714
1653663515.688914,3571,0.8482660055160522
1653663520.060856,3665,0.848039984703064
1653663524.472597,3759,0.8490359783172607
1653663529.257913,3853,0.8478500247001648
1653663534.0451622,3947,0.8482890129089355
1653663540.027644,4041,0.8482170104980469
1653663546.3688412,4135,0.849170982837677
1653663552.349437,4229,0.848056972026825
1653663558.2723174,4323,0.8478990197181702
1653663564.1195247,4417,0.8451470136642456
1653663569.6239793,4511,0.8495810031890869
1653663573.9399056,4605,0.8519060015678406
1653663578.4886284,4699,0.8513969779014587
1653663583.0640361,4793,0.8469160199165344
1653663587.739976,4887,0.840378999710083
1653663593.1704738,4981,0.8467950224876404
1653663599.3594024,5075,0.8488839864730835
1653663605.3038425,5169,0.8456689715385437
1653663611.367881,5263,0.8480929732322693
1653663617.2434344,5357,0.8508620262145996
1653663622.5806513,5451,0.852882981300354
1653663626.9367833,5545,0.8474950194358826
1653663631.3640838,5639,0.8497580289840698
1653663635.8565073,5733,0.8514950275421143
1653663640.512599,5827,0.8511260151863098
1653663645.7907033,5921,0.8512629866600037
1653663652.2851102,6015,0.8502399921417236
1653663658.4370048,6109,0.8445330262184143
1653663664.588358,6203,0.8501240015029907
1653663670.914452,6297,0.8520050048828125
1653663677.057385,6391,0.8469560146331787
1653663683.3206065,6485,0.8471829891204834
1653663687.9808033,6579,0.8511829972267151
1653663692.8178144,6673,0.8432589769363403
1653663698.0355546,6767,0.8425350189208984
1653663703.2866971,6861,0.8436459898948669
1653663709.3829274,6955,0.8473770022392273
1653663715.9261546,7049,0.8444690108299255
1653663722.1788394,7143,0.8498460054397583
1653663728.8740015,7237,0.8490989804267883
1653663734.790182,7331,0.8502389788627625
1653663740.6721654,7425,0.8479580283164978
1653663744.9052424,7519,0.8482069969177246
1653663749.5019252,7613,0.8497920036315918
1653663754.1420753,7707,0.8486449718475342
1653663758.9102118,7801,0.8491860032081604
1653663763.999053,7895,0.851760983467102
1653663770.5061026,7989,0.8488410115242004
1653663776.6557696,8083,0.8507109880447388
1653663782.6623445,8177,0.851951003074646
1653663788.7924993,8271,0.8552520275115967
1653663794.6712396,8365,0.8497089743614197
1653663800.3074672,8459,0.8473749756813049
1653663804.6153498,8553,0.8524829745292664
1653663809.2497725,8647,0.8428450226783752
1653663813.820352,8741,0.8502410054206848
1653663818.5445518,8835,0.8514649868011475
1653663823.8447344,8929,0.850570023059845
1653663830.0213406,9023,0.8489750027656555
1653663835.8900692,9117,0.8480010032653809
1653663841.9746687,9211,0.847940981388092
1653663847.9324262,9305,0.8470010161399841
1653663853.8150194,9399,0.8475379943847656
